country,denomination,currency,year_start,year_end,mass_g,diameter_mm,thickness_mm,hole_mm,color_hint,notes,metal_1,pct_1,metal_2,pct_2,metal_3,pct_3,composition_source
United States,Quarter,USD,1903,1903,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1903,1903,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1903,1903,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1904,1904,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1904,1904,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1904,1904,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1904,1904,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1904,1904,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1904,1904,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1905,1905,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1905,1905,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1905,1905,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1905,1905,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1905,1905,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1905,1905,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1906,1906,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1906,1906,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1906,1906,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1906,1906,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1906,1906,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1906,1906,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1907,1907,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1907,1907,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1907,1907,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1907,1907,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1907,1907,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1907,1907,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1908,1908,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1908,1908,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1908,1908,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1908,1908,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1908,1908,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1908,1908,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1909,1909,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1909,1909,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1909,1909,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1909,1909,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1909,1909,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1909,1909,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1910,1910,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1910,1910,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1910,1910,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1910,1910,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1910,1910,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1910,1910,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1911,1911,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1911,1911,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1911,1911,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1911,1911,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1911,1911,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1911,1911,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1912,1912,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1912,1912,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1912,1912,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1912,1912,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1912,1912,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1912,1912,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1913,1913,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1913,1913,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1913,1913,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1913,1913,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1913,1913,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1913,1913,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1914,1914,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1914,1914,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1914,1914,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1914,1914,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1914,1914,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1914,1914,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1915,1915,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1915,1915,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1915,1915,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1915,1915,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1915,1915,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1915,1915,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1916,1916,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1916,1916,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1916,1916,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1916,1916,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1916,1916,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1916,1916,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1917,1917,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1917,1917,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1917,1917,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1917,1917,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1917,1917,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1917,1917,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1918,1918,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1918,1918,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1918,1918,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1918,1918,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1918,1918,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1918,1918,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1919,1919,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1919,1919,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1919,1919,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1919,1919,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1919,1919,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1919,1919,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1920,1920,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1920,1920,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1920,1920,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1920,1920,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1920,1920,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1920,1920,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1921,1921,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1921,1921,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1921,1921,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1921,1921,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1921,1921,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1921,1921,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1922,1922,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1922,1922,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1922,1922,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1922,1922,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1922,1922,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1922,1922,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1923,1923,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1923,1923,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1923,1923,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1923,1923,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1923,1923,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1923,1923,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1924,1924,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1924,1924,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1924,1924,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1924,1924,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1924,1924,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1924,1924,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1925,1925,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1925,1925,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1925,1925,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1925,1925,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1925,1925,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1925,1925,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1926,1926,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1926,1926,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1926,1926,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1926,1926,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1926,1926,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1926,1926,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1927,1927,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1927,1927,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1927,1927,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1927,1927,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1927,1927,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1927,1927,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1928,1928,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1928,1928,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1928,1928,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1928,1928,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1928,1928,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1928,1928,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1929,1929,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1929,1929,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1929,1929,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1929,1929,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1929,1929,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1929,1929,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1930,1930,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1930,1930,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1930,1930,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1930,1930,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1930,1930,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1930,1930,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1931,1931,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1931,1931,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1931,1931,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
